gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000426565,6.001824554664618e-06,0.0211864406779661,3033,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella albensis,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000024565,6.001824554664618e-06,0.0211864406779661,497,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus,s__Streptobacillus moniliformis,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000733915,6.001824554664618e-06,0.0211864406779661,4437,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__,s__Caulobacteraceae bacterium PMMR1,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000010285,6.001824554664618e-06,0.0211864406779661,100,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__Kocuria rhizophila,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G001902585,7.2021894655975416e-06,0.025423728813559324,9642,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus,s__Streptobacillus notomytis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G900106985,7.2021894655975416e-06,0.0211864406779661,10220,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Hydrobacter,s__Hydrobacter penzbergensis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000512915,7.2021894655975416e-06,0.025423728813559324,3689,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Barnesiella,s__Barnesiella viscericola,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000368905,7.2021894655975416e-06,0.0211864406779661,2345,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter radioresistens,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000013985,7.2021894655975416e-06,0.0211864406779661,209,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__Sphingopyxis alaskensis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000614145,7.2021894655975416e-06,0.025423728813559324,3946,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides faecichinchillae,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000308275,7.2021894655975416e-06,0.0211864406779661,1930,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__Levyella,s__Levyella massiliensis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000301035,7.2021894655975416e-06,0.025423728813559324,1886,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Facklamia,s__Facklamia hominis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G001536105,7.2021894655975416e-06,0.025423728813559324,7086,k__Bacteria,p__Candidatus Kryptonia,c__,o__,f__,g__Candidatus Kryptobacter,s__Candidatus Kryptobacter tengchongensis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000437675,7.2021894655975416e-06,0.025423728813559324,3333,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. CAG:891,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000296505,7.2021894655975416e-06,0.0211864406779661,1818,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces turicensis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G001493375,7.2021894655975416e-06,0.0211864406779661,6938,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces specialis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G001046635,7.2021894655975416e-06,0.0211864406779661,5928,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium barchaimii,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000286435,7.2021894655975416e-06,0.0211864406779661,1787,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Morganella,s__Morganella morganii,t__Morganella morganii subsp. morganii,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G900103375,7.2021894655975416e-06,0.0211864406779661,10171,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas balearica,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G001874625,7.2021894655975416e-06,0.025423728813559324,9539,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Providencia,s__Providencia rettgeri,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000243215,7.2021894655975416e-06,0.025423728813559324,1515,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter laneus,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G900110905,7.2021894655975416e-06,0.0211864406779661,10297,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Basfia,s__Basfia succiniciproducens,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G900129085,7.2021894655975416e-06,0.025423728813559324,10465,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Atopostipes,s__Atopostipes suicloacalis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000374405,7.2021894655975416e-06,0.025423728813559324,2414,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Riemerella,s__Riemerella columbina,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000414445,7.2021894655975416e-06,0.0211864406779661,2785,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Gardnerella,s__Gardnerella vaginalis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G001314305,7.2021894655975416e-06,0.0211864406779661,6312,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas acidaminiphila,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G900120365,7.2021894655975416e-06,0.0211864406779661,10452,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Massiliomicrobiota,s__Massiliomicrobiota timonensis,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000757785,7.2021894655975416e-06,0.0211864406779661,4674,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Pluralibacter,s__Pluralibacter gergoviae,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G001406335,7.2021894655975416e-06,0.0211864406779661,6392,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000710735,7.2021894655975416e-06,0.0211864406779661,4280,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Francisellaceae,g__Francisella,s__Francisella sp. W12-1067,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000376645,7.2021894655975416e-06,0.025423728813559324,2454,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Mannheimia,s__Mannheimia haemolytica,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000226875,7.2021894655975416e-06,0.025423728813559324,1369,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria shayeganii,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000221945,7.2021894655975416e-06,0.0211864406779661,1332,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Avibacterium,s__Avibacterium paragallinarum,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G000236665,7.2021894655975416e-06,0.025423728813559324,1448,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azospira,s__Azospira oryzae,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G001427705,7.2021894655975416e-06,0.0211864406779661,6535,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Pelomonas,s__Pelomonas sp. Root662,t__,0.0011717412278903216,7.403246895408208e-05,0.01824857406398779
G001310255,8.402554376530466e-06,0.025423728813559324,6273,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__Brevundimonas sp. DS20,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000521765,8.402554376530466e-06,0.0211864406779661,3775,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Bibersteinia,s__Bibersteinia trehalosi,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G001632805,8.402554376530466e-06,0.0211864406779661,7554,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium chelonae,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000746645,8.402554376530466e-06,0.025423728813559324,4602,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter baumannii,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000272475,8.402554376530466e-06,0.0211864406779661,1704,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium sp. Rr 2-17,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G001469845,8.402554376530466e-06,0.025423728813559324,6884,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. WG,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000221545,8.402554376530466e-06,0.029661016949152543,1328,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Megasphaera,s__Megasphaera sp. UPII 135-E,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000833575,8.402554376530466e-06,0.0211864406779661,5034,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium singulare,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000173795,8.402554376530466e-06,0.029661016949152543,945,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Catenibacterium,s__Catenibacterium mitsuokai,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000296465,8.402554376530466e-06,0.025423728813559324,1816,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Barnesiella,s__Barnesiella intestinihominis,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000380025,8.402554376530466e-06,0.029661016949152543,2532,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus entericus,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000380105,8.402554376530466e-06,0.025423728813559324,2536,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus orisratti,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G001643955,8.402554376530466e-06,0.029661016949152543,7583,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter hyointestinalis,t__Campylobacter hyointestinalis subsp. hyointestinalis,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G001308005,8.402554376530466e-06,0.029661016949152543,6268,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria sp. 74A18,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000747315,8.402554376530466e-06,0.0211864406779661,4610,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium ureicelerivorans,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000255535,8.402554376530466e-06,0.025423728813559324,1610,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Rahnella,s__Rahnella aquatilis,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000768875,8.402554376530466e-06,0.029661016949152543,4777,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas sp. COT-239 OH1446,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000772395,8.402554376530466e-06,0.0211864406779661,4800,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Gallibacterium,s__Gallibacterium anatis,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000214785,8.402554376530466e-06,0.0211864406779661,1268,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus kefiranofaciens,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000190575,8.402554376530466e-06,0.025423728813559324,1097,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salanitronis,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000463155,8.402554376530466e-06,0.0211864406779661,3411,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Siccibacter,s__Siccibacter turicensis,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000188055,8.402554376530466e-06,0.025423728813559324,1077,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus urinalis,t__,0.0013669124975251856,9.880341566650616e-05,0.01860789367326438
G000422205,9.602919287463388e-06,0.03389830508474576,2880,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio sp. X2,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000516555,9.602919287463388e-06,0.025423728813559324,3714,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia sp. P52-10,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000369105,9.602919287463388e-06,0.025423728813559324,2348,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter lwoffii,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000397205,9.602919287463388e-06,0.0211864406779661,2668,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas protegens,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000173655,9.602919287463388e-06,0.0211864406779661,943,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium amycolatum,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000601485,9.602919287463388e-06,0.03389830508474576,3913,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__Chondromyces,s__Chondromyces apiculatus,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000424205,9.602919287463388e-06,0.029661016949152543,2965,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium cadaveris,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G900130115,9.602919287463388e-06,0.029661016949152543,10500,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Nissabacter,s__Nissabacter archeti,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G001742205,9.602919287463388e-06,0.0211864406779661,7843,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G001297025,9.602919287463388e-06,0.0211864406779661,6188,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G001297765,9.602919287463388e-06,0.03389830508474576,6189,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Trabulsiella,s__Trabulsiella odontotermitis,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G001299475,9.602919287463388e-06,0.03389830508474576,6199,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__Neofamilia,s__Neofamilia massiliensis,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000681495,9.602919287463388e-06,0.0211864406779661,4082,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Francisellaceae,g__Francisella,s__Francisella tularensis,t__Francisella tularensis subsp. holarctica,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000347835,9.602919287463388e-06,0.025423728813559324,2290,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mutans,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000143845,9.602919287463388e-06,0.025423728813559324,635,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella uli,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G001425835,9.602919287463388e-06,0.025423728813559324,6513,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia sp. Root123D2,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G001436835,9.602919287463388e-06,0.0211864406779661,6665,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000282995,9.602919287463388e-06,0.029661016949152543,1737,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Melaminivora,s__Melaminivora alkalimesophila,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G001866515,9.602919287463388e-06,0.029661016949152543,9401,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,s__Massilia timonae,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G001434365,9.602919287463388e-06,0.025423728813559324,6606,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus gastricus,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G001888055,9.602919287463388e-06,0.03389830508474576,9577,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Cardiobacteriaceae,g__Rappaport,s__Rappaport israeli,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000260275,9.602919287463388e-06,0.025423728813559324,1635,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pettenkoferi,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G001281115,9.602919287463388e-06,0.0211864406779661,6140,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,s__Arthrobacter sp. LS16,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000970465,9.602919287463388e-06,0.03389830508474576,5229,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__Devosia insulae,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000300455,9.602919287463388e-06,0.025423728813559324,1879,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Kosakonia,s__Kosakonia sacchari,t__,0.0015620497983264148,0.00012660325090836297,0.0189641175444787
G000434975,1.0803284198396312e-05,0.025423728813559324,3261,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. CAG:520,t__,0.001757153134977596,0.0001572744679746163,0.019317403193552938
G001042635,1.0803284198396312e-05,0.025423728813559324,5909,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium scardovii,t__,0.001757153134977596,0.0001572744679746163,0.019317403193552938
G000229545,1.0803284198396312e-05,0.025423728813559324,1394,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mutans,t__,0.001757153134977596,0.0001572744679746163,0.019317403193552938
