	Difference off Neutral Model	Kingdom	Phylum	Class	Order	Family	Genus	Species
30	0.583317440737317	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Spirochaetales	f__Spirochaetaceae	g__Treponema	s__Treponema lecithinolyticum
6	0.5732968754737413	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus rhamnosus
22	0.570611518937516	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Spirochaetales	f__Spirochaetaceae	g__Treponema	s__Treponema medium
29	0.5416137666781395	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium sp. AAP93
3	0.5324791254644018	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas sp. PAMC 26617
2	0.5305264886221628	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Gemmataceae	g__Gemmata	s__Gemmata obscuriglobus
21	0.5280432022603991	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__Neisseria cinerea
14	0.527893646646008	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Eikenella	s__Eikenella corrodens
8	0.5271663429580453	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Spirochaetales	f__Spirochaetaceae	g__Treponema	s__Treponema vincentii
1	0.5219995460703051	k__Bacteria	p__Cyanobacteria	c__	o__Oscillatoriales	f__Cyanothecaceae	g__Cyanothece	s__Cyanothece sp. CCY0110
7	0.5102315858755662	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__Neisseria gonorrhoeae
5	0.5066628214499693	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis fribergensis
4	0.5008269029147034	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Alloscardovia	s__Alloscardovia omnicolens
