gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000702585,2.907652942544778e-06,0.16666666666666666,4241,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__,g__Exiguobacterium,s__Exiguobacterium aurantiacum,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000612865,2.907652942544778e-06,0.16666666666666666,3932,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Oceanobacillus,s__Oceanobacillus picturae,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G900089075,2.907652942544778e-06,0.16666666666666666,10061,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Vaginella,s__Vaginella massiliensis,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000369005,2.907652942544778e-06,0.16666666666666666,2347,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter beijerinckii,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000144625,2.907652942544778e-06,0.16666666666666666,640,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__[Clostridium] saccharolyticum,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000019405,2.907652942544778e-06,0.16666666666666666,354,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Histophilus,s__Histophilus somni,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000167195,2.907652942544778e-06,0.16666666666666666,889,k__Bacteria,p__Cyanobacteria,c__,o__Chroococcales,f__Aphanothecaceae,g__Crocosphaera,s__Crocosphaera watsonii,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G900105895,2.907652942544778e-06,0.16666666666666666,10206,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium minutum,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000687515,2.907652942544778e-06,0.16666666666666666,4120,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnobacterium,s__Lachnobacterium bovis,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000159015,2.907652942544778e-06,0.16666666666666666,807,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces coleocanis,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000157355,2.907652942544778e-06,0.16666666666666666,782,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus casseliflavus,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000702225,2.907652942544778e-06,0.16666666666666666,4228,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides sp. Ga6A2,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000701725,2.907652942544778e-06,0.16666666666666666,4215,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__,s__Erysipelotrichaceae bacterium NK3D112,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000426605,2.907652942544778e-06,0.16666666666666666,3035,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__Propionibacterium acidifaciens,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G001458375,2.907652942544778e-06,0.16666666666666666,6808,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tropicibacter,s__Tropicibacter naphthalenivorans,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G001449105,2.907652942544778e-06,0.16666666666666666,6781,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter,s__Caulobacter vibrioides,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000425185,2.907652942544778e-06,0.16666666666666666,2990,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Pleomorphomonas,s__Pleomorphomonas koreensis,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000495505,2.907652942544778e-06,0.16666666666666666,3571,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter fetus,t__Campylobacter fetus subsp. testudinum,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000021985,2.907652942544778e-06,0.16666666666666666,416,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Ectothiorhodospiraceae,g__Thioalkalivibrio,s__Thioalkalivibrio sulfidiphilus,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000179395,2.907652942544778e-06,0.16666666666666666,1006,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium variabile,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000348525,2.907652942544778e-06,0.16666666666666666,2292,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Avibacterium,s__Avibacterium paragallinarum,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000154565,3.6345661781809722e-06,0.16666666666666666,742,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Anaerotruncus,s__Anaerotruncus colihominis,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000155205,3.6345661781809722e-06,0.20833333333333334,749,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__Ruminococcus lactaris,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000612605,3.6345661781809722e-06,0.20833333333333334,3925,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Pantoea,s__Pantoea septica,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G001314995,3.6345661781809722e-06,0.20833333333333334,6322,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides ovatus,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G900100635,3.6345661781809722e-06,0.16666666666666666,10116,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. BP1-148,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G900100685,3.6345661781809722e-06,0.20833333333333334,10118,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__[Clostridium] clostridioforme,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000953875,3.6345661781809722e-06,0.20833333333333334,5110,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ralstonia,s__Ralstonia mannitolilytica,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000025925,3.6345661781809722e-06,0.16666666666666666,543,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella ruminicola,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000550805,3.6345661781809722e-06,0.16666666666666666,3831,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium vitaeruminis,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000180175,3.6345661781809722e-06,0.16666666666666666,1016,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__,s__Plautia stali symbiont,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G001247745,3.6345661781809722e-06,0.16666666666666666,6050,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermacoccaceae,g__Luteipulveratus,s__Luteipulveratus halotolerans,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000612825,3.6345661781809722e-06,0.16666666666666666,3930,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium mageritense,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000024925,3.6345661781809722e-06,0.16666666666666666,510,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Sanguibacteraceae,g__Sanguibacter,s__Sanguibacter keddieii,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000302695,3.6345661781809722e-06,0.16666666666666666,1892,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__,s__Enterobacteriaceae bacterium LSJC7,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000265365,3.6345661781809722e-06,0.16666666666666666,1665,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes finegoldii,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000010085,3.6345661781809722e-06,0.16666666666666666,94,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pectobacteriaceae,g__Sodalis,s__Sodalis glossinidius,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000599885,3.6345661781809722e-06,0.20833333333333334,3906,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Pantoea,s__Pantoea sp. IMH,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000007145,3.6345661781809722e-06,0.16666666666666666,15,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Xanthomonas,s__Xanthomonas campestris,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G900095865,3.6345661781809722e-06,0.16666666666666666,10087,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Massilioclostridium,s__Massilioclostridium coli,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000259095,3.6345661781809722e-06,0.16666666666666666,1626,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Citreicella,s__Citreicella sp. 357,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G001605965,3.6345661781809722e-06,0.16666666666666666,7441,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas koreensis,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000463345,3.6345661781809722e-06,0.16666666666666666,3412,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Serratia,s__Serratia sp. ATCC 39006,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000195275,3.6345661781809722e-06,0.20833333333333334,1140,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema succinifaciens,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G900106855,3.6345661781809722e-06,0.16666666666666666,10216,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Varibaculum,s__Varibaculum sp. Marseille-P2802,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G900106055,3.6345661781809722e-06,0.16666666666666666,10207,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces radingae,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000702525,3.6345661781809722e-06,0.16666666666666666,4239,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__Lachnospiraceae bacterium AC2012,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000752095,3.6345661781809722e-06,0.20833333333333334,4630,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium LF-3,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000758965,3.6345661781809722e-06,0.16666666666666666,4687,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium freneyi,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000196615,3.6345661781809722e-06,0.16666666666666666,1175,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Erwinia,s__Erwinia billingiae,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G001611775,3.6345661781809722e-06,0.16666666666666666,7454,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__[Haemophilus] parasuis,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000798955,3.6345661781809722e-06,0.20833333333333334,4847,k__Bacteria,p__Firmicutes,c__,o__,f__,g__,s__Firmicutes bacterium ZOR0006,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000338055,3.6345661781809722e-06,0.16666666666666666,2227,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermabacteraceae,g__Brachybacterium,s__Brachybacterium muris,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000331245,3.6345661781809722e-06,0.16666666666666666,2141,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Blastomonas,s__Blastomonas sp. AAP53,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G001418035,3.6345661781809722e-06,0.16666666666666666,6423,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Gulbenkiania,s__Gulbenkiania indica,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G001636615,3.6345661781809722e-06,0.16666666666666666,7559,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__Mucilaginibacter sp. L294,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000185365,3.6345661781809722e-06,0.16666666666666666,1044,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus italicus,t__,0.01678762730022554,0.0014683505459573837,0.16545052252870757
G000428685,4.361479413817167e-06,0.25,3079,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces slackii,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G001874625,4.361479413817167e-06,0.20833333333333334,9539,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Providencia,s__Providencia rettgeri,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000169255,4.361479413817167e-06,0.25,904,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__Pseudoflavonifractor,s__Pseudoflavonifractor capillosus,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000187995,4.361479413817167e-06,0.25,1074,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus macacae,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G001042675,4.361479413817167e-06,0.20833333333333334,5910,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Parascardovia,s__Parascardovia denticolens,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G001917115,4.361479413817167e-06,0.20833333333333334,9699,k__Bacteria,p__,c__,o__,f__,g__,s__Melainabacteria sp. 35_41,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000169655,4.361479413817167e-06,0.20833333333333334,911,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Yersinia,s__Yersinia pestis,t__Yersinia pestis subsp. pestis,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000747315,4.361479413817167e-06,0.20833333333333334,4610,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium ureicelerivorans,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G001921215,4.361479413817167e-06,0.20833333333333334,9758,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Actinophytocola,s__Actinophytocola xinjiangensis,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000437675,4.361479413817167e-06,0.20833333333333334,3333,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. CAG:891,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000313565,4.361479413817167e-06,0.20833333333333334,2006,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Dielma,s__Dielma fastidiosa,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G001562845,4.361479413817167e-06,0.20833333333333334,7208,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium vaginae,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000621445,4.361479413817167e-06,0.20833333333333334,4009,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus bogoriensis,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000154505,4.361479413817167e-06,0.20833333333333334,740,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__[Clostridium] scindens,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000017245,4.361479413817167e-06,0.20833333333333334,307,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Actinobacillus,s__Actinobacillus succinogenes,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G001552935,4.361479413817167e-06,0.20833333333333334,7137,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__,g__,s__Coriobacteriales bacterium DNF00809,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000189595,4.361479413817167e-06,0.20833333333333334,1086,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__[Clostridium] symbiosum,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G000228205,4.361479413817167e-06,0.25,1385,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus sobrinus,t__,0.020116766378312056,0.002044661542183454,0.17061380573899543
G001028545,5.088392649453362e-06,0.25,5869,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000245815,5.088392649453362e-06,0.25,1552,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Dolosigranulum,s__Dolosigranulum pigrum,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G001441535,5.088392649453362e-06,0.20833333333333334,6750,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Altererythrobacter,s__Altererythrobacter troitsensis,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000230275,5.088392649453362e-06,0.20833333333333334,1397,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus intestini,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G001517865,5.088392649453362e-06,0.25,7073,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Caviibacter,s__Caviibacter abscessus,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000252625,5.088392649453362e-06,0.20833333333333334,1585,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,s__Listeria fleischmannii,t__Listeria fleischmannii subsp. coloradonensis,0.023436481791321406,0.002695038762865948,0.17568677587775552
G001902575,5.088392649453362e-06,0.25,9641,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus,s__Streptobacillus notomytis,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000154525,5.088392649453362e-06,0.25,741,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides stercoris,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G001298575,5.088392649453362e-06,0.20833333333333334,6196,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__,f__,g__,s__Actinobacteria bacterium OK074,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G001709035,5.088392649453362e-06,0.20833333333333334,7783,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__,g__Candidatus Thiodiazotropha,s__Candidatus Thiodiazotropha endoloripes,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000174195,5.088392649453362e-06,0.2916666666666667,951,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__Roseburia inulinivorans,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000154345,5.088392649453362e-06,0.20833333333333334,735,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminiclostridium,s__[Clostridium] leptum,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000187975,5.088392649453362e-06,0.20833333333333334,1073,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus criceti,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000228385,5.088392649453362e-06,0.20833333333333334,1386,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus sobrinus,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
G000236665,5.088392649453362e-06,0.25,1448,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azospira,s__Azospira oryzae,t__,0.023436481791321406,0.002695038762865948,0.17568677587775552
