gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000496735,3.9123630672926444e-05,0.10416666666666667,3591,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloglobulus,s__Methyloglobulus morosus,t__,0.007700715135395941,0.0006258291959083256,0.08773448276089174
G000447775,4.564423578508085e-05,0.125,3389,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bacteriovoracaceae,g__Bacteriovorax,s__Bacteriovorax sp. DB6_IX,t__,0.00897916138058008,0.0008304027083500462,0.0898973356737397
G000177375,4.564423578508085e-05,0.10416666666666667,987,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__Bulleidia extructa,t__,0.00897916138058008,0.0008304027083500462,0.0898973356737397
G001275135,4.564423578508085e-05,0.125,6106,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. 109,t__,0.00897916138058008,0.0008304027083500462,0.0898973356737397
G000614065,4.564423578508085e-05,0.125,3944,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella dentasini,t__,0.00897916138058008,0.0008304027083500462,0.0898973356737397
G000187125,4.564423578508085e-05,0.10416666666666667,1069,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas artemidis,t__,0.00897916138058008,0.0008304027083500462,0.0898973356737397
G000478985,5.216484089723526e-05,0.10416666666666667,3515,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus sp. BV3C26,t__,0.010256180348408028,0.0010582437484026042,0.09203427802713875
G000270145,5.216484089723526e-05,0.125,1684,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus gallolyticus,t__Streptococcus gallolyticus subsp. gallolyticus,0.010256180348408028,0.0010582437484026042,0.09203427802713875
G000411115,5.216484089723526e-05,0.14583333333333334,2766,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga granulosa,t__,0.010256180348408028,0.0010582437484026042,0.09203427802713875
G000293175,5.216484089723526e-05,0.10416666666666667,1800,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga sp. CM59,t__,0.010256180348408028,0.0010582437484026042,0.09203427802713875
G000784965,5.216484089723526e-05,0.125,4817,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Pantoea,s__Pantoea sp. PSNIH2,t__,0.010256180348408028,0.0010582437484026042,0.09203427802713875
G000466425,5.216484089723526e-05,0.125,3424,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga sp. oral taxon 863,t__,0.010256180348408028,0.0010582437484026042,0.09203427802713875
G000194925,5.868544600938968e-05,0.16666666666666666,1135,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria bacilliformis,t__,0.011531773196841288,0.0013078275298726016,0.09414683675159512
G000171775,5.868544600938968e-05,0.125,923,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Gemmataceae,g__Gemmata,s__Gemmata obscuriglobus,t__,0.011531773196841288,0.0013078275298726016,0.09414683675159512
G000380065,5.868544600938968e-05,0.16666666666666666,2534,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus massiliensis,t__,0.011531773196841288,0.0013078275298726016,0.09414683675159512
G001876005,5.868544600938968e-05,0.16666666666666666,9547,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium diphtheriae,t__,0.011531773196841288,0.0013078275298726016,0.09414683675159512
G001028605,5.868544600938968e-05,0.10416666666666667,5871,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.011531773196841288,0.0013078275298726016,0.09414683675159512
G000688375,6.520605112154408e-05,0.125,4142,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. HUN102,t__,0.012805941083738004,0.0015777846570962095,0.09623638338689404
G001571285,6.520605112154408e-05,0.10416666666666667,7247,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Kluyvera,s__Kluyvera cryocrescens,t__,0.012805941083738004,0.0015777846570962095,0.09623638338689404
G900104395,7.172665623369848e-05,0.10416666666666667,10187,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium necrophorum,t__,0.014078685167049021,0.0018668797334455423,0.09830415547395648
G001007605,7.172665623369848e-05,0.14583333333333334,5799,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus influenzae,t__,0.014078685167049021,0.0018668797334455423,0.09830415547395648
G000159115,7.824726134585289e-05,0.125,812,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium accolens,t__,0.015350006604731847,0.002173993618571249,0.1003512742974372
G000027305,7.824726134585289e-05,0.16666666666666666,559,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus influenzae,t__,0.015350006604731847,0.002173993618571249,0.1003512742974372
G000007565,8.476786645800731e-05,0.125,28,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas putida,t__,0.016619906554662278,0.002498108600935585,0.10237875971302804
G000160555,9.12884715701617e-05,0.125,831,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas noxia,t__,0.017888386174826132,0.002838295920419634,0.10438754262520576
G000238795,9.12884715701617e-05,0.14583333333333334,1471,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus sputorum,t__,0.017888386174826132,0.002838295920419634,0.10438754262520576
G000221605,9.12884715701617e-05,0.125,1330,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella sp. oral taxon 780,t__,0.017888386174826132,0.002838295920419634,0.10438754262520576
G000269805,9.780907668231612e-05,0.125,1678,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces massiliensis,t__,0.019155446623096872,0.003193705200729438,0.1063784755544141
G000332735,9.780907668231612e-05,0.125,2170,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus warneri,t__,0.019155446623096872,0.003193705200729438,0.1063784755544141
G000185505,0.00010432968179447051,0.14583333333333334,1049,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Pseudoramibacter,s__Pseudoramibacter alactolyticus,t__,0.02042108905742579,0.0035635554459568924,0.10835234164085505
G000213975,0.00010432968179447051,0.14583333333333334,1253,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Centipeda,s__Centipeda periodontii,t__,0.02042108905742579,0.0035635554459568924,0.10835234164085505
G000508745,0.00011085028690662493,0.14583333333333334,3661,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus sp. DORA_6_22,t__,0.021685314635756847,0.003947127326955541,0.11030986235795541
G000170715,0.00011085028690662493,0.14583333333333334,913,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Beggiatoa,s__Beggiatoa sp. PS,t__,0.021685314635756847,0.003947127326955541,0.11030986235795541
G000218235,0.00011085028690662493,0.20833333333333334,1290,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella multisaccharivorax,t__,0.021685314635756847,0.003947127326955541,0.11030986235795541
G000235445,0.00011085028690662493,0.20833333333333334,1432,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Johnsonella,s__Johnsonella ignava,t__,0.021685314635756847,0.003947127326955541,0.11030986235795541
G000190695,0.00011085028690662493,0.125,1100,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Kingella,s__Kingella denitrificans,t__,0.021685314635756847,0.003947127326955541,0.11030986235795541
G000308635,0.00011737089201877935,0.125,1939,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Nocardia,s__Nocardia otitidiscaviarum,t__,0.02294812451593664,0.004343756538503711,0.11225170415503688
G000209465,0.00011737089201877935,0.16666666666666666,1217,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__Lachnospiraceae bacterium oral taxon 500,t__,0.02294812451593664,0.004343756538503711,0.11225170415503688
G000277715,0.00012389149713093375,0.125,1719,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Pseudopropionibacterium,s__Pseudopropionibacterium propionicum,t__,0.024209519855913797,0.0047528280509453735,0.11417848420604446
G000758925,0.00012389149713093375,0.20833333333333334,4685,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. S7-1-8,t__,0.024209519855913797,0.0047528280509453735,0.11417848420604446
G000160075,0.00012389149713093375,0.16666666666666666,824,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Abiotrophia,s__Abiotrophia defectiva,t__,0.024209519855913797,0.0047528280509453735,0.11417848420604446
G001457795,0.00012389149713093375,0.16666666666666666,6795,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella sp. SIT9,t__,0.024209519855913797,0.0047528280509453735,0.11417848420604446
G000242335,0.00012389149713093375,0.20833333333333334,1499,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella dentalis,t__,0.024209519855913797,0.0047528280509453735,0.11417848420604446
G000467935,0.00012389149713093375,0.16666666666666666,3435,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__,s__Peptostreptococcaceae bacterium oral taxon 113,t__,0.024209519855913797,0.0047528280509453735,0.11417848420604446
G000614105,0.00012389149713093375,0.20833333333333334,3945,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella micans,t__,0.024209519855913797,0.0047528280509453735,0.11417848420604446
G000246925,0.00013041210224308815,0.14583333333333334,1557,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus rhinitidis,t__,0.025469501813504825,0.0051737711130419375,0.116090775406261
G000160535,0.00013041210224308815,0.20833333333333334,830,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella bergensis,t__,0.025469501813504825,0.0051737711130419375,0.116090775406261
G000271925,0.00013041210224308815,0.14583333333333334,1700,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga sp. oral taxon 412,t__,0.025469501813504825,0.0051737711130419375,0.116090775406261
G001746855,0.00013041210224308815,0.25,7851,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces hongkongensis,t__,0.025469501813504825,0.0051737711130419375,0.116090775406261
G001814805,0.00013693270735524256,0.14583333333333334,9022,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus sp. HMSC062B11,t__,0.026728071546594512,0.0056060548895527085,0.11798911073509803
G000186425,0.00013693270735524256,0.14583333333333334,1064,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Lautropia,s__Lautropia mirabilis,t__,0.026728071546594512,0.0056060548895527085,0.11798911073509803
G000340375,0.00013693270735524256,0.20833333333333334,2232,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Eggerthia,s__Eggerthia catenaformis,t__,0.026728071546594512,0.0056060548895527085,0.11798911073509803
G000968335,0.00013693270735524256,0.16666666666666666,5191,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus influenzae,t__,0.026728071546594512,0.0056060548895527085,0.11798911073509803
G000711965,0.00013693270735524256,0.14583333333333334,4301,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces israelii,t__,0.026728071546594512,0.0056060548895527085,0.11798911073509803
G000333455,0.00014345331246739697,0.2916666666666667,2182,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Rhodopseudomonas,s__Rhodopseudomonas sp. B29,t__,0.02798523021304533,0.006049184637423086,0.11987398707973952
G001190745,0.00014345331246739697,0.14583333333333334,6030,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter gracilis,t__,0.02798523021304533,0.006049184637423086,0.11987398707973952
G000162475,0.0001499739175795514,0.1875,851,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,s__Granulicatella elegans,t__,0.029240978970609954,0.0065026983414545325,0.12174586859931011
G000438335,0.0001499739175795514,0.14583333333333334,3346,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister,s__Dialister sp. CAG:588,t__,0.029240978970609954,0.0065026983414545325,0.12174586859931011
G000949895,0.0001499739175795514,0.125,5085,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,s__Agrobacterium arsenijevicii,t__,0.029240978970609954,0.0065026983414545325,0.12174586859931011
G001262035,0.0001499739175795514,0.20833333333333334,6056,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Aggregatibacter,s__Aggregatibacter aphrophilus,t__,0.029240978970609954,0.0065026983414545325,0.12174586859931011
G001028525,0.00015649452269170578,0.14583333333333334,5868,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.030495318977127317,0.0069661637437628265,0.12360518969577985
G000318255,0.00015649452269170578,0.16666666666666666,2076,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga sp. oral taxon 380,t__,0.030495318977127317,0.0069661637437628265,0.12360518969577985
G001262055,0.00015649452269170578,0.14583333333333334,6057,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces meyeri,t__,0.030495318977127317,0.0069661637437628265,0.12360518969577985
G000186205,0.00015649452269170578,0.125,1059,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.030495318977127317,0.0069661637437628265,0.12360518969577985
G000510425,0.00015649452269170578,0.125,3668,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__,s__[Eubacterium] nodatum,t__,0.030495318977127317,0.0069661637437628265,0.12360518969577985
G001514435,0.0001630151278038602,0.20833333333333334,7050,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus thermophilus,t__,0.031748251390295024,0.007439175711831482,0.1254523576454894
G000429225,0.0001630151278038602,0.20833333333333334,3103,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces dentalis,t__,0.031748251390295024,0.007439175711831482,0.1254523576454894
G000378725,0.0001630151278038602,0.16666666666666666,2491,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus lacrimalis,t__,0.031748251390295024,0.007439175711831482,0.1254523576454894
G000023285,0.00016953573291601462,0.16666666666666666,453,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga ochracea,t__,0.032999777367862304,0.007921353899367677,0.12728775493865127
G000525775,0.000176056338028169,0.1875,3792,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__Mogibacterium,s__Mogibacterium timidum,t__,0.03424989806754253,0.008412340660847374,0.12911174136464282
G000007645,0.0001825769431403234,0.14583333333333334,31,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.035498614646929494,0.008911799186949163,0.13092465587641733
G000763765,0.0001825769431403234,0.14583333333333334,4733,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Rothia,s__Rothia dentocariosa,t__,0.035498614646929494,0.008911799186949163,0.13092465587641733
G001813205,0.0001825769431403234,0.20833333333333334,9020,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium sp. HMSC064B08,t__,0.035498614646929494,0.008911799186949163,0.13092465587641733
G000430525,0.0001825769431403234,0.2708333333333333,3141,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella corporis,t__,0.035498614646929494,0.008911799186949163,0.13092465587641733
G000287635,0.00018909754825247784,0.1875,1793,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. MSX73,t__,0.0367459282636865,0.009419411833014577,0.1327268182623939
G000466245,0.00018909754825247784,0.14583333333333334,3422,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces johnsonii,t__,0.0367459282636865,0.009419411833014577,0.1327268182623939
G000174015,0.00018909754825247784,0.16666666666666666,950,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium rimae,t__,0.0367459282636865,0.009419411833014577,0.1327268182623939
G001068545,0.00019561815336463224,0.14583333333333334,5975,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.03799184007532519,0.009934878616385853,0.1345185306487101
G000253395,0.00019561815336463224,0.2708333333333333,1603,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus thermophilus,t__,0.03799184007532519,0.009934878616385853,0.1345185306487101
G001914135,0.00019561815336463224,0.14583333333333334,9658,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.03799184007532519,0.009934878616385853,0.1345185306487101
G000762865,0.00020213875847678665,0.25,4723,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. S7 MS 2,t__,0.03923635123941993,0.010457915862499917,0.1363000788535248
G001042595,0.00020213875847678665,0.14583333333333334,5908,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium dentium,t__,0.03923635123941993,0.010457915862499917,0.1363000788535248
G000431415,0.00020865936358894103,0.14583333333333334,3172,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__Peptostreptococcus anaerobius CAG:621,t__,0.04047946291338966,0.010988254981791748,0.1380717336097112
G000378745,0.00020865936358894103,0.3541666666666667,2492,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella amnii,t__,0.04047946291338966,0.010988254981791748,0.1380717336097112
G000024225,0.00021517996870109546,0.20833333333333334,484,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium parvulum,t__,0.04172117625468308,0.011525641362569783,0.139833751672324
G001438885,0.00021517996870109546,0.1875,6718,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium rimae,t__,0.04172117625468308,0.011525641362569783,0.139833751672324
G000160695,0.00021517996870109546,0.14583333333333334,837,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas flueggei,t__,0.04172117625468308,0.011525641362569783,0.139833751672324
G000162875,0.00022170057381324987,0.1875,854,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Slackia,s__Slackia exigua,t__,0.04296149242069691,0.012069833366441324,0.1415863768230229
G000455445,0.00022170057381324987,0.3125,3405,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella timonensis,t__,0.04296149242069691,0.012069833366441324,0.1415863768230229
G000014205,0.0002477829942618675,0.3125,216,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus sanguinis,t__,0.047908808476982534,0.014310229973449745,0.14850741880604568
G000613345,0.0002477829942618675,0.2916666666666667,3937,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella disiens,t__,0.047908808476982534,0.014310229973449745,0.14850741880604568
G000008805,0.0002543035993740219,0.16666666666666666,66,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria meningitidis,t__,0.0491421561249602,0.014885219969443447,0.15021634166473022
G000385925,0.0002608242044861763,0.22916666666666666,2653,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus cristatus,t__,0.050374113540559984,0.015465792286344218,0.15191710777055084
G001402935,0.00026734480959833074,0.375,6375,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Thermoplasmatales,f__Ferroplasmaceae,g__Acidiplasma,s__Acidiplasma cupricumulans,t__,0.05160468188076128,0.016051774527625046,0.15360989166252875
G001707835,0.00028038601982263955,0.5208333333333334,7775,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__Planctopirus,s__Planctopirus sp. JC280,t__,0.054061655962166055,0.017239316364130258,0.15697217379279632
