gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000508745,0.00020865936358894103,0.20833333333333334,3661,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus sp. DORA_6_22,t__,0.031049289119737478,0.004442547779064665,0.18706410899419548
G001639025,0.00020865936358894103,0.20833333333333334,7562,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium afermentans,t__Corynebacterium afermentans subsp. afermentans,0.031049289119737478,0.004442547779064665,0.18706410899419548
G000429225,0.00022170057381324987,0.20833333333333334,3103,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces dentalis,t__,0.03296105661852877,0.00493247378529757,0.18987016113813676
G000174815,0.0002347417840375587,0.20833333333333334,957,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas endodontalis,t__,0.03486946273387359,0.005440457623391515,0.19265236026518487
G000466245,0.0002477829942618675,0.20833333333333334,3422,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces johnsonii,t__,0.036774512183836094,0.005965721765733151,0.19541149203712027
G000934225,0.0002477829942618675,0.20833333333333334,5048,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.036774512183836094,0.005965721765733151,0.19541149203712027
G000269805,0.0002477829942618675,0.20833333333333334,1678,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces massiliensis,t__,0.036774512183836094,0.005965721765733151,0.19541149203712027
G000832075,0.0002608242044861763,0.375,5023,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Sanguibacteroides,s__Sanguibacteroides justesenii,t__,0.03867620968358121,0.0065075382907905654,0.1981482925046436
G000463505,0.0002608242044861763,0.25,3414,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus anginosus,t__,0.03867620968358121,0.0065075382907905654,0.1981482925046436
G001402935,0.0002738654147104851,0.3333333333333333,6375,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Thermoplasmatales,f__Ferroplasmaceae,g__Acidiplasma,s__Acidiplasma cupricumulans,t__,0.04057455994535886,0.007065224525568264,0.20086345246489354
G001425865,0.0002738654147104851,0.5416666666666666,6514,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__,g__Rhizobacter,s__Rhizobacter sp. Root404,t__,0.04057455994535886,0.007065224525568264,0.20086345246489354
G001063255,0.0002738654147104851,0.20833333333333334,5969,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Morococcus,s__Morococcus cerebrosus,t__,0.04057455994535886,0.007065224525568264,0.20086345246489354
G000186205,0.00028690662493479393,0.20833333333333334,1059,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.04246956767849541,0.007638139170066532,0.20355762133697256
G001028525,0.0002999478351591028,0.2916666666666667,5868,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.04436123758935384,0.008225678840020803,0.2062314106191389
G000832085,0.0003260302556077204,0.5416666666666666,5024,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Sanguibacteroides,s__Sanguibacteroides justesenii,t__,0.048134582755155586,0.009442391058725727,0.2115201250422255
G001428745,0.000352112676056338,0.5416666666666666,6556,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Leifsonia,s__Leifsonia sp. Root227,t__,0.051894633034640814,0.010711182541636291,0.21673383918438444
G000160675,0.0003651538862806468,0.25,836,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,s__Granulicatella adiacens,t__,0.053769684326433476,0.01136392389416302,0.2193137754938181
G001707835,0.00037819509650495567,0.625,7775,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__Planctopirus,s__Planctopirus sp. JC280,t__,0.05564142597194632,0.01202831323098591,0.22187635783126097
G000213295,0.0003912363067292645,0.25,1244,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga sp. oral taxon 329,t__,0.05750986265667146,0.012703941347494876,0.22442200347933455
G001854465,0.0003912363067292645,0.25,9383,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium nucleatum,t__,0.05750986265667146,0.012703941347494876,0.22442200347933455
G001068545,0.0003912363067292645,0.25,5975,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.05750986265667146,0.012703941347494876,0.22442200347933455
G000017005,0.0004042775169535733,0.25,300,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus gordonii,t__,0.059374999063070644,0.013390419274061302,0.22695110948045427
G000159995,0.00041731872717788206,0.25,821,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__Alloprevotella tannerae,t__,0.061236839870557946,0.014087376889933972,0.22946405402290404
G000014205,0.0004303599374021909,0.25,216,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus sanguinis,t__,0.06309538975549722,0.014794461657507682,0.23196119770656276
G000800295,0.00044340114762649973,0.25,4858,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Parvimonas,s__Parvimonas micra,t__,0.06495065339118322,0.015511337464390693,0.23444288470080488
G000344275,0.0006651017214397496,0.2916666666666667,2270,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus oralis,t__Streptococcus oralis subsp. tigurinus,0.09599185240057961,0.02893244144434705,0.2745382850838868
G900089455,0.0006911841418883673,0.6666666666666666,10062,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Orrella,s__Orrella dioscoreae,t__,0.09958246778702029,0.03063676560234907,0.27902435273182874
G001553335,0.0008737610850286906,0.3333333333333333,7140,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella parvula,t__,0.12436116882724513,0.04310676302528457,0.3092740151367305
G000469305,0.0016823161189358372,0.75,3448,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Faecalitalea,s__Faecalitalea cylindroides,t__,0.22689261400034477,0.10450404910642211,0.424645820072142
G001429825,0.002634324465310381,0.75,6571,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus sp. Soil531,t__,0.33362583332811635,0.1799412457138327,0.5332217730890982
G000469345,0.003560250391236307,0.75,3450,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium ramulus,t__,0.4243874253629999,0.250934199178806,0.6187061236954279
G000010505,0.0016301512780386022,0.08333333333333333,106,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas gingivalis,t__,0.2206198851971135,0.10038956593529513,0.417945820263257
G000173675,0.0021648408972352634,0.125,944,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga sputigena,t__,0.2827868993594429,0.1428090941254583,0.4827051830575648
G000938305,0.0023995826812728224,0.08333333333333333,5067,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium sp. LTSP885,t__,0.30863100632301343,0.16143161642184517,0.5086391311042235
G000220255,0.0035732916014606154,0.25,1315,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella pallens,t__,0.4255807651876138,0.2519049937776423,0.6197927037460437
G000635515,0.0042905581637976,0.2916666666666667,4066,k__Bacteria,p__Cyanobacteria,c__,o__Synechococcales,f__Prochloraceae,g__Prochlorococcus,s__Prochlorococcus sp. scB243_495N3,t__,0.48782283027610585,0.3038247345720109,0.6751812453045727
G000193395,0.004668753260302556,0.16666666666666666,1129,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella denticola,t__,0.5180822910283573,0.32996634842106864,0.7012083818598036
G000286635,0.004812206572769953,0.2916666666666667,1788,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella sp. ACP1,t__,0.5291219648181176,0.339649841714996,0.7105578115646749
G000397205,0.004916536254564423,0.041666666666666664,2668,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas protegens,t__,0.53700357530671,0.34661117789794016,0.7171847469550303
G000144405,0.007055294731351069,0.4166666666666667,638,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella melaninogenica,t__,0.6739458704215906,0.47417488734663915,0.825716071457228
G000309465,0.017253521126760565,0.5,1953,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Candidatus Phytoplasma,s__Poinsettia branch-inducing phytoplasma,t__,0.9447713600198623,0.7786877018675973,0.9881192897647879
G000309485,0.017931664058424623,0.375,1954,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Candidatus Phytoplasma,s__Milkweed yellows phytoplasma,t__,0.9511771261058481,0.787521376423876,0.990329460795321
G001293525,0.018518518518518517,0.5,6165,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__,g__Ideonella,s__Ideonella sakaiensis,t__,0.956138032495641,0.7944727956084637,0.9919308803194956
G000379145,0.023056859676577987,0.25,2501,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium elkanii,t__,0.9811104011470907,0.8312802791788072,0.9981769487555088
G000145555,0.023304642670839853,0.2916666666666667,654,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,t__,0.9819716517485617,0.832615916641811,0.9983261483169172
G000144735,0.02347417840375587,0.2916666666666667,644,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,t__,0.9825388628503271,0.8334984692882335,0.998421494603883
G000145515,0.02368283776734481,0.3333333333333333,653,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,t__,0.9832132448141133,0.8345508405769833,0.998531789914977
G000008345,0.025678142931664056,0.2916666666666667,51,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,t__,0.9885083552197104,0.8429364361533794,0.9992752166755762
G001747495,0.0757563901930099,0.7916666666666666,7856,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Cloacibacterium,s__Cloacibacterium normanense,t__,0.9999996915835265,0.8620232636009364,0.9999999999994058
G001618265,0.14844809598330724,0.7916666666666666,7468,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Parachlamydiales,f__Waddliaceae,g__Waddlia,s__Waddlia chondrophila,t__,0.9999999999999916,0.8620237953250052,1.0
G001560465,0.25029994783515913,0.7916666666666666,7179,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus acidocaldarius,t__,1.0,0.8620237953250198,1.0
