gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G001866515,8.402554376530466e-06,0.0211864406779661,9401,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,s__Massilia timonae,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000017265,8.402554376530466e-06,0.025423728813559324,308,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__Phenylobacterium zucineum,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000227765,8.402554376530466e-06,0.0211864406779661,1383,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria wadsworthii,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000375405,8.402554376530466e-06,0.029661016949152543,2429,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides propionicifaciens,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000411135,8.402554376530466e-06,0.0211864406779661,2767,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinotignum,s__Actinotignum schaalii,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000496435,8.402554376530466e-06,0.0211864406779661,3588,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G001435935,9.602919287463388e-06,0.0211864406779661,6636,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus panis,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000019945,9.602919287463388e-06,0.0211864406779661,367,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__Methylobacterium populi,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000368925,9.602919287463388e-06,0.0211864406779661,2346,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter bereziniae,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G001010245,9.602919287463388e-06,0.025423728813559324,5809,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G001042675,9.602919287463388e-06,0.029661016949152543,5910,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Parascardovia,s__Parascardovia denticolens,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000953275,9.602919287463388e-06,0.025423728813559324,5098,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Clostridioides,s__Clostridioides difficile,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000954135,9.602919287463388e-06,0.029661016949152543,5111,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ralstonia,s__Ralstonia mannitolilytica,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000229705,9.602919287463388e-06,0.0211864406779661,1395,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mutans,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000016325,9.602919287463388e-06,0.03389830508474576,280,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter sp. 638,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G001888055,9.602919287463388e-06,0.029661016949152543,9577,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Cardiobacteriaceae,g__Rappaport,s__Rappaport israeli,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000337895,9.602919287463388e-06,0.0211864406779661,2226,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Halobiforma,s__Halobiforma nitratireducens,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000756665,9.602919287463388e-06,0.03389830508474576,4663,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Alcanivoracaceae,g__Alcanivorax,s__Alcanivorax nanhaiticus,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000981035,9.602919287463388e-06,0.025423728813559324,5301,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Catabacteriaceae,g__Catabacter,s__Catabacter hongkongensis,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000295095,9.602919287463388e-06,0.029661016949152543,1810,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces timonensis,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000759055,9.602919287463388e-06,0.025423728813559324,4689,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium tuscaniense,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000155915,9.602919287463388e-06,0.0211864406779661,763,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus jensenii,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000468855,9.602919287463388e-06,0.0211864406779661,3445,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__,s__Coriobacteriaceae bacterium BV3Ac1,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000768855,9.602919287463388e-06,0.029661016949152543,4776,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__,s__Porphyromonadaceae bacterium COT-184 OH4590,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000317245,9.602919287463388e-06,0.03389830508474576,2050,k__Bacteria,p__Cyanobacteria,c__,o__Nostocales,f__Hapalosiphonaceae,g__Fischerella,s__Fischerella muscicola,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000436915,9.602919287463388e-06,0.025423728813559324,3314,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. CAG:1092,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G900103375,9.602919287463388e-06,0.025423728813559324,10171,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas balearica,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G900120375,9.602919287463388e-06,0.029661016949152543,10453,k__Bacteria,p__Firmicutes,c__,o__,f__,g__Ndongobacter,s__Ndongobacter massiliensis,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G001314995,9.602919287463388e-06,0.025423728813559324,6322,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides ovatus,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000159235,9.602919287463388e-06,0.025423728813559324,815,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium vaginae,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000308255,9.602919287463388e-06,0.029661016949152543,1929,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus pacaensis,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G001308005,9.602919287463388e-06,0.0211864406779661,6268,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria sp. 74A18,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000347835,9.602919287463388e-06,0.0211864406779661,2290,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mutans,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000427565,9.602919287463388e-06,0.029661016949152543,3056,k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermoanaerobacteraceae,g__Carboxydothermus,s__Carboxydothermus ferrireducens,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G001314305,9.602919287463388e-06,0.025423728813559324,6312,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas acidaminiphila,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000243215,9.602919287463388e-06,0.0211864406779661,1515,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter laneus,t__,0.0015945904296413849,0.00013152298011462338,0.01902323669352221
G000214335,1.0803284198396312e-05,0.029661016949152543,1260,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. KC8,t__,0.0017937551742304159,0.00016333706390471436,0.019383372191377642
G000188015,1.0803284198396312e-05,0.0211864406779661,1075,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus ictaluri,t__,0.0017937551742304159,0.00016333706390471436,0.019383372191377642
G000397205,1.0803284198396312e-05,0.025423728813559324,2668,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas protegens,t__,0.0017937551742304159,0.00016333706390471436,0.019383372191377642
G000301035,1.0803284198396312e-05,0.03389830508474576,1886,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Facklamia,s__Facklamia hominis,t__,0.0017937551742304159,0.00016333706390471436,0.019383372191377642
G000463155,1.0803284198396312e-05,0.029661016949152543,3411,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Siccibacter,s__Siccibacter turicensis,t__,0.0017937551742304159,0.00016333706390471436,0.019383372191377642
G001807655,1.0803284198396312e-05,0.0211864406779661,9009,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus sp. HMSC24D01,t__,0.0017937551742304159,0.00016333706390471436,0.019383372191377642
G000177535,1.0803284198396312e-05,0.0211864406779661,988,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium resistens,t__,0.0017937551742304159,0.00016333706390471436,0.019383372191377642
G000311925,1.0803284198396312e-05,0.038135593220338986,1974,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes obesi,t__,0.0017937551742304159,0.00016333706390471436,0.019383372191377642
