gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000143845,8.481620328747605e-06,0.029940119760479042,635,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella uli,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G900120365,8.481620328747605e-06,0.029940119760479042,10452,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Massiliomicrobiota,s__Massiliomicrobiota timonensis,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G001493375,8.481620328747605e-06,0.029940119760479042,6938,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces specialis,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000827695,8.481620328747605e-06,0.029940119760479042,4974,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga canis,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000006785,8.481620328747605e-06,0.029940119760479042,5,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus pyogenes,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000463665,8.481620328747605e-06,0.029940119760479042,3416,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium granulosum,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000686605,8.481620328747605e-06,0.029940119760479042,4103,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus sobrinus,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000426625,8.481620328747605e-06,0.029940119760479042,3036,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Psychrilyobacter,s__Psychrilyobacter atlanticus,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000524335,1.0177944394497125e-05,0.029940119760479042,3786,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella uli,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000758905,1.0177944394497125e-05,0.03592814371257485,4684,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__,s__Clostridiales bacterium S5-A14a,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G900101835,1.0177944394497125e-05,0.03592814371257485,10141,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Peptococcus,s__Peptococcus niger,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G001484935,1.0177944394497125e-05,0.029940119760479042,6921,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter johnsonii,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000466245,1.0177944394497125e-05,0.029940119760479042,3422,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces johnsonii,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G001427625,1.0177944394497125e-05,0.03592814371257485,6534,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__Rhizobium sp. Root651,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000301055,1.0177944394497125e-05,0.029940119760479042,1887,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Facklamia,s__Facklamia ignava,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000495505,1.0177944394497125e-05,0.03592814371257485,3571,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter fetus,t__Campylobacter fetus subsp. testudinum,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G001437585,1.0177944394497125e-05,0.03592814371257485,6678,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella uli,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000772395,1.0177944394497125e-05,0.029940119760479042,4800,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Gallibacterium,s__Gallibacterium anatis,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000347595,1.0177944394497125e-05,0.03592814371257485,2286,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Bibersteinia,s__Bibersteinia trehalosi,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000307915,1.0177944394497125e-05,0.029940119760479042,1924,k__Bacteria,p__Cyanobacteria,c__,o__Oscillatoriales,f__Microcoleaceae,g__Arthrospira,s__Arthrospira platensis,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000157915,1.0177944394497125e-05,0.029940119760479042,784,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides coprophilus,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000733915,1.0177944394497125e-05,0.029940119760479042,4437,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__,s__Caulobacteraceae bacterium PMMR1,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G001714725,1.0177944394497125e-05,0.029940119760479042,7795,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax sp. RAC01,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G001660655,1.0177944394497125e-05,0.029940119760479042,7653,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus paraplantarum,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000286435,1.0177944394497125e-05,0.029940119760479042,1787,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Morganella,s__Morganella morganii,t__Morganella morganii subsp. morganii,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000720925,1.0177944394497125e-05,0.029940119760479042,4366,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Phycicoccus,s__Phycicoccus jejuensis,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000376645,1.0177944394497125e-05,0.03592814371257485,2454,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Mannheimia,s__Mannheimia haemolytica,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000621185,1.0177944394497125e-05,0.03592814371257485,4005,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Franconibacter,s__Franconibacter pulveris,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G001028605,1.0177944394497125e-05,0.03592814371257485,5871,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G000374325,1.0177944394497125e-05,0.029940119760479042,2411,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Allofustis,s__Allofustis seminis,t__,0.0024848608221731405,0.00022254738735004616,0.027120946209264606
G900130115,1.1874268460246646e-05,0.03592814371257485,10500,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Nissabacter,s__Nissabacter archeti,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G001643955,1.1874268460246646e-05,0.041916167664670656,7583,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter hyointestinalis,t__Campylobacter hyointestinalis subsp. hyointestinalis,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000220835,1.1874268460246646e-05,0.029940119760479042,1324,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces sp. oral taxon 448,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000800955,1.1874268460246646e-05,0.041916167664670656,4863,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__Kocuria sp. ZOR0020,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000318335,1.1874268460246646e-05,0.03592814371257485,2078,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces sp. oral taxon 181,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000212415,1.1874268460246646e-05,0.03592814371257485,1236,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema brennaborense,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000422205,1.1874268460246646e-05,0.041916167664670656,2880,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio sp. X2,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000970465,1.1874268460246646e-05,0.03592814371257485,5229,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__Devosia insulae,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000954135,1.1874268460246646e-05,0.041916167664670656,5111,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ralstonia,s__Ralstonia mannitolilytica,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G001407835,1.1874268460246646e-05,0.03592814371257485,6396,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Lagierella,s__Lagierella massiliensis,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G001297905,1.1874268460246646e-05,0.03592814371257485,6190,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000311985,1.1874268460246646e-05,0.03592814371257485,1975,k__Bacteria,p__Firmicutes,c__Tissierellia,o__,f__,g__Kallipyga,s__Kallipyga massiliensis,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000188055,1.1874268460246646e-05,0.029940119760479042,1077,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus urinalis,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000026105,1.1874268460246646e-05,0.03592814371257485,549,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas entomophila,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000312325,1.1874268460246646e-05,0.03592814371257485,1988,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__Casaltella,s__Casaltella massiliensis,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G001902575,1.1874268460246646e-05,0.041916167664670656,9641,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus,s__Streptobacillus notomytis,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000007645,1.1874268460246646e-05,0.029940119760479042,31,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G001536045,1.1874268460246646e-05,0.03592814371257485,7083,k__Bacteria,p__Candidatus Kryptonia,c__,o__,f__,g__Candidatus Kryptonium,s__Candidatus Kryptonium thompsoni,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G001592855,1.1874268460246646e-05,0.029940119760479042,7349,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter sp. BMW17,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G001499755,1.1874268460246646e-05,0.041916167664670656,6945,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas maltophilia,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G900091655,1.1874268460246646e-05,0.03592814371257485,10070,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Culturomica,s__Culturomica massiliensis,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000173975,1.1874268460246646e-05,0.029940119760479042,949,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,s__[Eubacterium] hallii,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000786205,1.1874268460246646e-05,0.041916167664670656,4828,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. 37zxx,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G001639025,1.1874268460246646e-05,0.03592814371257485,7562,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium afermentans,t__Corynebacterium afermentans subsp. afermentans,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000174395,1.1874268460246646e-05,0.041916167664670656,953,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus faecium,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000768855,1.1874268460246646e-05,0.041916167664670656,4776,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__,s__Porphyromonadaceae bacterium COT-184 OH4590,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000364865,1.1874268460246646e-05,0.03592814371257485,2333,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces cardiffensis,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000769115,1.1874268460246646e-05,0.03592814371257485,4780,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas canoris,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G900086555,1.1874268460246646e-05,0.029940119760479042,10056,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria weaveri,t__,0.0028984915088697827,0.0002947999514796313,0.02785735361742943
G000311925,1.3570592525996166e-05,0.041916167664670656,1974,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes obesi,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000379985,1.3570592525996166e-05,0.04790419161676647,2530,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus caballi,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000191725,1.3570592525996166e-05,0.029940119760479042,1108,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus prevotii,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000379525,1.3570592525996166e-05,0.041916167664670656,2512,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Lamprocystis,s__Lamprocystis purpurea,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000422165,1.3570592525996166e-05,0.029940119760479042,2879,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus helveticus,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000423745,1.3570592525996166e-05,0.041916167664670656,2950,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus plurextorum,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000214335,1.3570592525996166e-05,0.03592814371257485,1260,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. KC8,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G001888055,1.3570592525996166e-05,0.041916167664670656,9577,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Cardiobacteriaceae,g__Rappaport,s__Rappaport israeli,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000300455,1.3570592525996166e-05,0.041916167664670656,1879,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Kosakonia,s__Kosakonia sacchari,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000426665,1.3570592525996166e-05,0.029940119760479042,3038,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas artemidis,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000301035,1.3570592525996166e-05,0.03592814371257485,1886,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Facklamia,s__Facklamia hominis,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000768875,1.3570592525996166e-05,0.041916167664670656,4777,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas sp. COT-239 OH1446,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000803625,1.3570592525996166e-05,0.041916167664670656,4876,k__Bacteria,p__Candidatus Saccharibacteria,c__,o__,f__,g__,s__Candidatus Saccharibacteria oral taxon TM7x,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000390185,1.3570592525996166e-05,0.029940119760479042,2662,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cyclobacteriaceae,g__Lunatimonas,s__Lunatimonas lonarensis,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000347835,1.3570592525996166e-05,0.03592814371257485,2290,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mutans,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000315485,1.3570592525996166e-05,0.041916167664670656,2027,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides oleiciplenus,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000262305,1.3570592525996166e-05,0.04790419161676647,1647,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Shimwellia,s__Shimwellia blattae,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G001434365,1.3570592525996166e-05,0.029940119760479042,6606,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus gastricus,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000496435,1.3570592525996166e-05,0.029940119760479042,3588,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000979675,1.3570592525996166e-05,0.03592814371257485,5279,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina mazei,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G900111525,1.3570592525996166e-05,0.041916167664670656,10318,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. kh1p2,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000337895,1.3570592525996166e-05,0.041916167664670656,2226,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Halobiforma,s__Halobiforma nitratireducens,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G001188545,1.3570592525996166e-05,0.029940119760479042,6014,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__,g__Enhydrobacter,s__Enhydrobacter aerosaccus,t__,0.003311975780537768,0.00037510503396430764,0.02858542226161758
G000235885,1.5266916591745685e-05,0.04790419161676647,1440,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella stercorea,t__,0.003725313672656272,0.0004629101718266679,0.029305704674169285
G900120165,1.5266916591745685e-05,0.04790419161676647,10451,k__Bacteria,p__Firmicutes,c__Tissierellia,o__,f__,g__Ezakiella,s__Ezakiella massiliensis,t__,0.003725313672656272,0.0004629101718266679,0.029305704674169285
G001310795,1.5266916591745685e-05,0.041916167664670656,6279,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Diaphorobacter,s__Diaphorobacter nitroreducens,t__,0.003725313672656272,0.0004629101718266679,0.029305704674169285
G000287655,1.5266916591745685e-05,0.04790419161676647,1794,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas sp. FOBRC9,t__,0.003725313672656272,0.0004629101718266679,0.029305704674169285
G000226875,1.5266916591745685e-05,0.041916167664670656,1369,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria shayeganii,t__,0.003725313672656272,0.0004629101718266679,0.029305704674169285
G900119705,1.5266916591745685e-05,0.041916167664670656,10447,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Murdochiella,s__Murdochiella sp. Marseille-P2341,t__,0.003725313672656272,0.0004629101718266679,0.029305704674169285
G000269805,1.5266916591745685e-05,0.03592814371257485,1678,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces massiliensis,t__,0.003725313672656272,0.0004629101718266679,0.029305704674169285
G000469545,1.5266916591745685e-05,0.041916167664670656,3454,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Mitsuokella,s__Mitsuokella sp. oral taxon 131,t__,0.003725313672656272,0.0004629101718266679,0.029305704674169285
G000447205,1.5266916591745685e-05,0.029940119760479042,3383,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__Sphingobium ummariense,t__,0.003725313672656272,0.0004629101718266679,0.029305704674169285
G000160655,1.5266916591745685e-05,0.029940119760479042,835,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Cardiobacteriaceae,g__Cardiobacterium,s__Cardiobacterium hominis,t__,0.003725313672656272,0.0004629101718266679,0.029305704674169285
